,quarter,time,down,togo,location,away_team,home_team,detail
35,1,1:52,4,4,ARI 31,3,9,Brandon Aubrey 49 yard field goal good
36,1,1:48,0,0,DAL 35,3,9,"Brandon Aubrey kicks off 65 yards, touchback."
37,1,1:48,1,10,ARI 25,3,9,Keaontay Ingram up the middle for -1 yards (tackle by Osa Odighizuwa)
38,1,1:11,2,11,ARI 24,3,9,Keaontay Ingram up the middle for 7 yards (tackle by Stephon Gilmore and Donovan Wilson)
39,1,0:32,3,4,ARI 31,3,9,Joshua Dobbs pass complete short left to Marquise Brown for 12 yards (tackle by DaRon Bland)
40,2,15:00,1,10,ARI 43,3,9,"Joshua Dobbs sacked by Donovan Wilson for no gain. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)"
41,2,14:40,1,20,ARI 33,3,9,Keaontay Ingram right tackle for 1 yard (tackle by Jayron Kearse)
42,2,14:08,2,19,ARI 34,3,9,Joshua Dobbs pass complete short right to Keaontay Ingram for 8 yards (tackle by Stephon Gilmore and Leighton Vander Esch)
43,2,13:23,3,11,ARI 42,3,9,"Joshua Dobbs pass incomplete deep left intended for Rondale Moore. Penalty on Micah Parsons: Defensive Offside, 5 yards (declined) . Penalty on Jourdan Lewis: Defensive Holding, 5 yards (accepted) (no play)"
44,2,13:13,1,10,ARI 47,3,9,Joshua Dobbs pass complete short left to Rondale Moore for 8 yards (tackle by DaRon Bland)
45,2,12:38,2,2,DAL 45,3,15,"Rondale Moore left tackle for 45 yards, touchdown"
46,2,12:31,0,0,DAL 2,3,15,Two Point Attempt: Joshua Dobbs pass incomplete intended for Marquise Brown
47,2,12:31,0,0,ARI 35,3,15,"Matt Prater kicks off 65 yards, touchback."
48,2,12:31,1,10,DAL 25,3,15,Tony Pollard up the middle for 8 yards (tackle by K'Von Wallace and Kei'Trel Clark)
49,2,12:02,2,2,DAL 33,3,15,Tony Pollard up the middle for 8 yards (tackle by Kyzir White)
50,2,11:24,1,10,DAL 41,3,15,Dak Prescott scrambles left end for 10 yards (tackle by Jalen Thompson)
51,2,10:50,1,10,ARI 49,3,15,Dak Prescott pass complete short left to Michael Gallup for 6 yards (tackle by Zaven Collins)
52,2,10:20,2,4,ARI 43,3,15,Dak Prescott pass incomplete short right intended for Luke Schoonmaker
53,2,10:17,3,4,ARI 43,3,15,Dak Prescott pass complete short right to Brandin Cooks for 5 yards (tackle by Kei'Trel Clark)
54,2,9:42,1,10,ARI 38,3,15,CeeDee Lamb left end for 9 yards (tackle by Kyzir White and Jalen Thompson)
55,2,9:06,2,1,ARI 29,3,15,"Dak Prescott pass complete short right to Jake Ferguson for no gain (tackle by Jesse Luketa). Penalty on T.J. Bass: Offensive Holding, 10 yards (accepted) (no play)"
56,2,8:41,2,11,ARI 39,3,15,Dak Prescott pass complete short left to Jake Ferguson for 10 yards (tackle by Andre Chachere)
57,2,8:00,3,1,ARI 29,3,15,Tony Pollard left tackle for 5 yards (tackle by K'Von Wallace)
58,2,7:26,1,10,ARI 24,3,15,Tony Pollard up the middle for 5 yards (tackle by Ben Stille and Leki Fotu)
59,2,6:44,2,5,ARI 19,3,15,Tony Pollard up the middle for 8 yards (tackle by Kyzir White and Jalen Thompson)
60,2,6:10,1,10,ARI 11,3,15,"Penalty on Terence Steele: False Start, 4 yards (accepted) (no play)"
61,2,5:44,1,14,ARI 15,3,15,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Kei'Trel Clark)
62,2,5:40,2,14,ARI 15,9,15,"Dak Prescott pass complete short right to Rico Dowdle for 15 yards, touchdown"
63,2,5:32,0,0,ARI 15,10,15,Brandon Aubrey kicks extra point good
64,2,5:32,0,0,DAL 35,10,15,"Brandon Aubrey kicks off 65 yards, touchback."
65,2,5:32,1,10,ARI 25,10,15,"Joshua Dobbs pass incomplete short right intended for Zach Ertz. Penalty on Paris Johnson: Offensive Holding, 10 yards (accepted) (no play)"
66,2,5:28,1,20,ARI 15,10,15,Joshua Dobbs pass complete short left to Marquise Brown for 10 yards (tackle by Malik Hooker)
67,2,4:50,2,10,ARI 25,10,15,James Conner left tackle for 26 yards (tackle by Jayron Kearse)
68,2,4:12,1,10,DAL 49,10,15,James Conner up the middle for 12 yards (tackle by Jourdan Lewis and Malik Hooker)
69,2,3:36,1,10,DAL 37,10,15,Keaontay Ingram right tackle for 8 yards (tackle by Damone Clark)
70,2,2:56,2,2,DAL 29,10,15,Keaontay Ingram up the middle for -2 yards (tackle by DeMarcus Lawrence)
71,2,2:21,3,4,DAL 31,10,15,Joshua Dobbs sacked by DeMarcus Lawrence for -1 yards
72,2,2:00,4,5,DAL 32,10,15,"Penalty on Juanyeh Thomas: Defensive Offside, 5 yards (accepted) (no play)"
73,2,1:55,1,10,DAL 27,10,15,Joshua Dobbs pass incomplete deep right intended for Marquise Brown (defended by Stephon Gilmore)
74,2,1:50,2,10,DAL 27,10,15,"Joshua Dobbs pass incomplete short right intended for Trey McBride. Penalty on D.J. Humphries: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
75,2,1:46,2,15,DAL 32,10,15,Joshua Dobbs pass complete short left to James Conner for 8 yards (tackle by Damone Clark)
76,2,1:40,3,7,DAL 24,10,15,Joshua Dobbs pass complete short right to Rondale Moore for -1 yards (tackle by Jourdan Lewis)
77,2,1:31,4,8,DAL 25,10,18,Matt Prater 43 yard field goal good
78,2,1:28,0,0,ARI 35,10,18,"Matt Prater kicks off 65 yards, touchback."
79,2,1:28,1,10,DAL 25,10,18,Dak Prescott pass complete short right to CeeDee Lamb for 7 yards (tackle by Kei'Trel Clark)
80,2,1:12,2,3,DAL 32,10,18,Dak Prescott pass complete short left to Tony Pollard for 2 yards (tackle by Marco Wilson)
81,2,1:06,3,1,DAL 34,10,18,Tony Pollard up the middle for 6 yards (tackle by Krys Barnes)
82,2,1:02,1,10,DAL 40,10,18,"Dak Prescott pass complete short right to CeeDee Lamb for no gain (tackle by Kei'Trel Clark). Penalty on CeeDee Lamb: Offensive Pass Interference, 10 yards (accepted) (no play)"
83,2,0:56,1,20,DAL 30,10,18,Dak Prescott pass incomplete short left
84,2,0:51,2,20,DAL 30,10,18,Dak Prescott pass incomplete short right
85,2,0:43,3,20,DAL 30,10,18,Dak Prescott pass complete short right to Jake Ferguson for 10 yards (tackle by Jalen Thompson and Kyzir White)
86,2,0:37,4,10,DAL 40,10,18,"Bryan Anger punts 50 yards, returned by Greg Dortch for 19 yards (tackle by C.J. Goodwin)"
87,2,0:25,1,10,ARI 29,10,18,"Joshua Dobbs pass complete short left to Marquise Brown for 14 yards (tackle by DaRon Bland). Penalty on Osa Odighizuwa: Defensive Offside, 5 yards (declined) "
88,2,0:20,1,10,ARI 43,10,18,"Joshua Dobbs pass incomplete short left intended for Michael Wilson (defended by DaRon Bland). Penalty on Dante Fowler: Defensive Offside, 5 yards (accepted) (no play)"
89,2,0:16,1,5,ARI 48,10,18,Joshua Dobbs pass incomplete deep right intended for Rondale Moore
90,2,0:11,2,5,ARI 48,10,18,Joshua Dobbs pass complete short middle to Rondale Moore for 6 yards (tackle by Jourdan Lewis)
91,2,0:08,1,10,DAL 46,10,18,Emari Demercado up the middle for 2 yards (tackle by Dorance Armstrong and DeMarcus Lawrence)
92,2,0:04,2,8,DAL 44,10,21,Matt Prater 62 yard field goal good
93,3,15:00,0,0,ARI 35,10,21,"Matt Prater kicks off 65 yards, touchback."
94,3,15:00,1,10,DAL 25,10,21,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Kyzir White)
95,3,14:28,2,4,DAL 31,10,21,Tony Pollard up the middle for 3 yards (tackle by Kyzir White and Kevin Strong)
96,3,13:51,3,1,DAL 34,10,21,Hunter Luepke up the middle for 9 yards (tackle by Kei'Trel Clark)
97,3,13:19,1,10,DAL 43,10,21,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Jalen Thompson)
98,3,12:47,2,6,DAL 47,10,21,Dak Prescott pass complete short right to Tony Pollard for -1 yards (tackle by Dennis Gardeck)
99,3,12:12,3,7,DAL 46,10,21,Dak Prescott pass complete deep right to CeeDee Lamb for 32 yards (tackle by Kei'Trel Clark)
100,3,11:40,1,10,ARI 22,10,21,Dak Prescott pass complete short left to Tony Pollard for -2 yards (tackle by Kyzir White)
101,3,11:07,2,12,ARI 24,10,21,Dak Prescott pass incomplete short left intended for Jake Ferguson
102,3,11:04,3,12,ARI 24,10,21,Dak Prescott scrambles left end for 13 yards (tackle by Krys Barnes)
103,3,10:19,1,10,ARI 11,10,21,Tony Pollard up the middle for 3 yards (tackle by Jonathan Ledbetter)
104,3,9:42,2,7,ARI 8,10,21,Dak Prescott pass incomplete short middle
105,3,9:35,3,7,ARI 8,10,21,Dak Prescott pass incomplete short middle intended for Brandin Cooks (defended by Jalen Thompson)
106,3,9:30,4,7,ARI 8,13,21,Brandon Aubrey 27 yard field goal good
107,3,9:27,0,0,DAL 35,13,21,"Brandon Aubrey kicks off 65 yards, touchback."
108,3,9:27,1,10,ARI 25,13,21,Rondale Moore left end for 2 yards (tackle by DaRon Bland)
109,3,8:51,2,8,ARI 27,13,21,James Conner right tackle for no gain (tackle by Johnathan Hankins and Micah Parsons)
110,3,8:07,3,8,ARI 27,13,21,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)"
111,3,7:47,3,13,ARI 22,13,21,"Emari Demercado up the middle for no gain (tackle by Micah Parsons and Dorance Armstrong). Penalty on Paris Johnson: Offensive Holding, 10 yards (declined) "
112,3,7:34,4,13,ARI 22,13,21,"Nolan Cooney punts 52 yards, returned by KaVontae Turpin for no gain (tackle by Zach Pascal). Penalty on Devin Harper: Defensive Holding, 10 yards (accepted) "
113,3,7:19,1,10,DAL 16,13,21,Dak Prescott pass complete deep right to Michael Gallup for 27 yards (tackle by Kei'Trel Clark)
114,3,6:48,1,10,DAL 43,13,21,Tony Pollard up the middle for 5 yards (tackle by Krys Barnes)
115,3,6:20,2,5,DAL 48,13,21,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by K'Von Wallace)
116,3,5:45,1,10,ARI 42,13,21,Tony Pollard right tackle for 31 yards (tackle by Krys Barnes)
117,3,5:03,1,10,ARI 11,13,21,Rico Dowdle up the middle for 2 yards (tackle by Jalen Thompson)
118,3,4:26,2,8,ARI 9,13,21,Rico Dowdle right end for 5 yards (tackle by Kyzir White)
119,3,3:50,3,3,ARI 4,13,21,"Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Marco Wilson). Penalty on Chuma Edoga: Offensive Holding, 10 yards (accepted) (no play)"
120,3,3:44,3,13,ARI 14,13,21,Dak Prescott pass complete short right to Jake Ferguson for 10 yards (tackle by Kyzir White and Marco Wilson)
121,3,3:03,4,3,ARI 4,13,21,Dak Prescott pass incomplete short right intended for CeeDee Lamb
122,3,2:57,1,10,ARI 5,13,21,"Joshua Dobbs pass incomplete short right intended for Marquise Brown. Penalty on D.J. Humphries: Offensive Holding, 10 yards (declined) "
123,3,2:51,2,10,ARI 5,13,21,James Conner up the middle for 2 yards (tackle by Leighton Vander Esch and Mazi Smith)
124,3,2:08,3,8,ARI 7,13,21,Joshua Dobbs pass complete deep right to Marquise Brown for 23 yards (tackle by Stephon Gilmore)
125,3,1:42,1,10,ARI 30,13,21,Joshua Dobbs pass complete short right to Rondale Moore for -5 yards (tackle by Donovan Wilson)
126,3,1:00,2,15,ARI 25,13,21,Rondale Moore right end for 7 yards (tackle by Johnathan Hankins and Malik Hooker)
127,3,0:16,3,8,ARI 32,13,21,Joshua Dobbs sacked by Micah Parsons for -10 yards
128,4,15:00,4,18,ARI 22,13,21,"Nolan Cooney punts 42 yards, fair catch by KaVontae Turpin at DAL-36"
129,4,14:53,1,10,DAL 36,13,21,Tony Pollard up the middle for 1 yard (tackle by Jonathan Ledbetter and Kevin Strong)
130,4,14:19,2,9,DAL 37,13,21,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Krys Barnes)
131,4,14:15,3,9,DAL 37,13,21,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Kei'Trel Clark: Defensive Pass Interference, 14 yards (accepted) (no play)"
132,4,14:10,1,10,ARI 49,13,21,Dak Prescott scrambles up the middle for 1 yard (tackle by Jonathan Ledbetter)
133,4,13:35,2,9,ARI 48,13,21,Rico Dowdle left tackle for 10 yards (tackle by Kyzir White)
134,4,12:58,1,10,ARI 38,13,21,Rico Dowdle up the middle for 4 yards (tackle by Ben Stille and Krys Barnes)
135,4,12:28,2,6,ARI 34,13,21,Tony Pollard up the middle for 2 yards (tackle by Dennis Gardeck)
136,4,11:50,3,4,ARI 32,13,21,Dak Prescott pass complete short right to Brandin Cooks for 12 yards (tackle by Kei'Trel Clark and Andre Chachere)
137,4,11:15,1,10,ARI 20,13,21,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Kei'Trel Clark)
138,4,10:39,1,10,ARI 10,13,21,Tony Pollard left tackle for 2 yards (tackle by Jalen Thompson)
139,4,10:19,2,8,ARI 8,13,21,CeeDee Lamb right end for no gain (tackle by Kyzir White)
140,4,9:40,3,8,ARI 8,13,21,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Kei'Trel Clark)
141,4,9:36,4,8,ARI 8,16,21,Brandon Aubrey 26 yard field goal good
142,4,9:33,0,0,DAL 35,16,21,"Brandon Aubrey kicks off 69 yards, returned by Greg Dortch for 28 yards (tackle by C.J. Goodwin)"
143,4,9:28,1,10,ARI 24,16,21,Joshua Dobbs pass complete deep right to Michael Wilson for 69 yards (tackle by Malik Hooker and Damone Clark)
144,4,8:35,1,7,DAL 7,16,21,James Conner right tackle for no gain (tackle by DeMarcus Lawrence)
145,4,8:02,2,7,DAL 7,16,21,Joshua Dobbs pass complete short middle to Zach Ertz for 5 yards (tackle by Donovan Wilson)
146,4,7:28,3,2,DAL 2,16,27,"Joshua Dobbs pass complete short right to Marquise Brown for 2 yards, touchdown"
147,4,7:22,0,0,DAL 15,16,28,Matt Prater kicks extra point good
148,4,7:22,0,0,ARI 35,16,28,"Matt Prater kicks off 65 yards, touchback."
149,4,7:22,1,10,DAL 25,16,28,Tony Pollard up the middle for 9 yards (tackle by K'Von Wallace and Zeke Turner)
150,4,7:01,2,1,DAL 34,16,28,Dak Prescott pass complete short right to Michael Gallup for 21 yards (tackle by Kyzir White and K'Von Wallace)
151,4,6:44,1,10,ARI 45,16,28,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by K'Von Wallace)
152,4,6:41,2,10,ARI 45,16,28,Dak Prescott pass complete short right to Michael Gallup for 9 yards (tackle by Marco Wilson)
153,4,6:23,3,1,ARI 36,16,28,"Tony Pollard up the middle for 4 yards (tackle by Ben Stille). Penalty on Ben Stille: Defensive Holding, 5 yards (accepted) "
154,4,6:01,1,10,ARI 27,16,28,Dak Prescott pass complete short right to Rico Dowdle for 9 yards (tackle by Kei'Trel Clark)
155,4,5:38,2,1,ARI 18,16,28,"Rico Dowdle up the middle for no gain (tackle by Kyzir White and Jonathan Ledbetter). Penalty on Tyler Smith: Offensive Holding, 10 yards (offset) . Penalty on Dante Stills: Defensive Offside, 5 yards (offset) Penalty on ARI: Defensive Too Many Men on Field, 5 yards (offset) (no play)"
156,4,5:24,2,1,ARI 18,16,28,Dak Prescott pass incomplete deep right intended for Michael Gallup (defended by Marco Wilson)
157,4,5:19,3,1,ARI 18,16,28,Tony Pollard up the middle for 2 yards (tackle by Victor Dimukeje)
158,4,4:58,1,10,ARI 16,16,28,Tony Pollard up the middle for 5 yards (tackle by K'Von Wallace and Kevin Strong)
159,4,4:33,2,5,ARI 11,16,28,Tony Pollard up the middle for 6 yards (tackle by Kyzir White)
160,4,4:04,1,5,ARI 5,16,28,Tony Pollard up the middle for -2 yards (tackle by Cameron Thomas)
161,4,3:33,2,7,ARI 7,16,28,Tony Pollard left tackle for 1 yard (tackle by Cameron Thomas)
162,4,3:05,3,6,ARI 6,16,28,Dak Prescott pass short middle intended for Brandin Cooks is intercepted by Kyzir White in end zone and returned for no gain
163,4,3:00,1,10,ARI 20,16,28,James Conner up the middle for 2 yards (tackle by Damone Clark)
164,4,2:56,2,8,ARI 22,16,28,James Conner right end for 7 yards (tackle by Micah Parsons and Johnathan Hankins)
165,4,2:50,3,1,ARI 29,16,28,Joshua Dobbs up the middle for 3 yards (tackle by Damone Clark)
166,4,2:44,1,10,ARI 32,16,28,"James Conner up the middle for 7 yards (tackle by DaRon Bland and Damone Clark). Penalty on Johnathan Hankins: Face Mask (15 Yards), 15 yards (accepted) "
167,4,2:38,1,10,DAL 46,16,28,James Conner left tackle for 9 yards (tackle by Jayron Kearse and Leighton Vander Esch)
168,4,2:00,2,1,DAL 37,16,28,Joshua Dobbs up the middle for 3 yards (tackle by Damone Clark)
169,4,1:18,1,10,DAL 34,16,28,Joshua Dobbs kneels for -1 yards
170,4,0:38,2,11,DAL 35,16,28,Joshua Dobbs kneels for -1 yards
