,quarter,time,down,togo,location,away_team,home_team,detail
41,2,10:14,1,1,TEN 1,3,14,"Penalty on Jermaine Eluemunor: False Start, 4 yards (accepted) (no play)"
42,2,9:49,1,5,TEN 5,9,14,"Derek Carr pass complete short middle to Davante Adams for 5 yards, touchdown"
43,2,9:44,0,0,TEN 15,10,14,Daniel Carlson kicks extra point good
44,2,9:44,0,0,LVR 35,10,14,"Daniel Carlson kicks off 63 yards, returned by Hassan Haskins for 29 yards (tackle by Luke Masterson). Penalty on Joseph Jones: Defensive Holding, 10 yards (accepted) "
45,2,9:35,1,10,TEN 21,10,14,Derrick Henry up the middle for no gain (tackle by Malcolm Koonce)
46,2,8:55,2,10,TEN 21,10,14,Ryan Tannehill pass complete short right to Robert Woods for 7 yards (tackle by Rock Ya-Sin)
47,2,8:05,3,3,TEN 28,10,14,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 10 yards (tackle by Rock Ya-Sin)
48,2,7:27,1,10,TEN 38,10,14,Derrick Henry left tackle for 10 yards (tackle by Nate Hobbs)
49,2,6:44,1,10,TEN 48,10,14,Ryan Tannehill pass complete deep right to Robert Woods for 21 yards (tackle by Rock Ya-Sin)
50,2,6:10,1,10,LVR 31,10,14,Derrick Henry up the middle for 6 yards (tackle by Andrew Billings and Matthew Butler)
51,2,5:33,2,4,LVR 25,10,14,Derrick Henry left tackle for 24 yards (tackle by Johnathan Abram)
52,2,4:57,1,1,LVR 1,10,20,"Ryan Tannehill up the middle for 1 yard, touchdown"
53,2,4:55,0,0,LVR 15,10,21,Randy Bullock kicks extra point good
54,2,4:55,0,0,TEN 35,10,21,"Randy Bullock kicks off 64 yards, returned by Ameer Abdullah for 23 yards (tackle by Lonnie Johnson)"
55,2,4:49,1,10,LVR 24,10,21,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Derrek Tuszka and Zach Cunningham)
56,2,4:08,2,1,LVR 33,10,21,Josh Jacobs up the middle for 4 yards (tackle by Wyatt Ray and David Long)
57,2,3:28,1,10,LVR 37,10,21,Josh Jacobs left guard for 3 yards (tackle by David Long and Roger McCreary)
58,2,2:39,2,7,LVR 40,10,21,Derek Carr pass incomplete short right intended for Foster Moreau
59,2,2:35,3,7,LVR 40,10,21,Derek Carr pass incomplete deep left intended for Darren Waller
60,2,2:30,4,7,LVR 40,10,21,"AJ Cole punts 47 yards, fair catch by Robert Woods at TEN-13"
61,2,2:23,1,10,TEN 13,10,21,Ryan Tannehill pass complete short middle to Geoff Swaim for 13 yards (tackle by Divine Deablo)
62,2,2:00,1,10,TEN 26,10,21,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by Amik Robertson)
63,2,1:57,2,10,TEN 26,10,21,Ryan Tannehill pass complete short right to Geoff Swaim for 4 yards (tackle by Johnathan Abram)
64,2,1:14,3,6,TEN 30,10,21,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by Divine Deablo)
65,2,1:09,4,6,TEN 30,10,21,"Ryan Stonehouse punts 57 yards, fair catch by Keelan Cole at LV-13"
66,2,1:02,1,10,LVR 13,10,21,Derek Carr pass complete short left to Brandon Bolden for 6 yards (tackle by Kristian Fulton)
67,2,0:44,2,4,LVR 19,10,21,Derek Carr pass incomplete short left
68,2,0:38,3,4,LVR 19,10,21,Derek Carr sacked by Rashad Weaver for -7 yards
69,2,0:34,4,11,LVR 12,10,21,"AJ Cole punts 58 yards, returned by Robert Woods for 21 yards (tackle by Jesper Horsted and Roderic Teamer)"
70,2,0:21,1,10,LVR 49,10,21,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 15 yards (tackle by Divine Deablo)
71,2,0:17,1,10,LVR 34,10,21,Dontrell Hilliard right tackle for 4 yards (tackle by Maxx Crosby and Divine Deablo)
72,2,0:04,2,7,LVR 31,10,24,Randy Bullock 48 yard field goal good
73,3,15:00,0,0,TEN 35,10,24,"Randy Bullock kicks off 65 yards, touchback."
74,3,15:00,1,10,LVR 25,10,24,Josh Jacobs left end for 1 yard (tackle by Roger McCreary and Kristian Fulton)
75,3,14:18,2,9,LVR 26,10,24,Derek Carr scrambles right end for 11 yards (tackle by Terrance Mitchell)
76,3,13:41,1,10,LVR 37,10,24,Josh Jacobs up the middle for 13 yards (tackle by Zach Cunningham and Kevin Byard)
77,3,12:55,1,10,TEN 50,10,24,Brandon Bolden right end for 12 yards (tackle by Roger McCreary)
78,3,12:22,1,10,TEN 38,10,24,Brandon Bolden left tackle for 2 yards (tackle by David Long and Kristian Fulton)
79,3,11:39,2,8,TEN 36,10,24,Mack Hollins pass complete short left to Josh Jacobs for 4 yards (tackle by Zach Cunningham)
80,3,11:20,3,4,TEN 32,10,24,Brandon Bolden left end for 3 yards (tackle by Amani Hooker)
81,3,10:39,4,1,TEN 29,10,24,Derek Carr pass complete short right to Mack Hollins for 4 yards (tackle by Roger McCreary)
82,3,10:01,1,10,TEN 25,10,24,Josh Jacobs left end for 5 yards (tackle by DeMarcus Walker)
83,3,9:17,2,5,TEN 20,10,24,Derek Carr pass complete to Mack Hollins for 5 yards
84,3,8:44,1,10,TEN 15,10,24,Josh Jacobs up the middle for 3 yards (tackle by Teair Tart and Jeffery Simmons)
85,3,8:04,2,7,TEN 12,10,24,Derek Carr pass complete short middle to Davante Adams for 3 yards (tackle by Kevin Byard and Kristian Fulton)
86,3,7:20,3,4,TEN 9,10,24,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)"
87,3,7:05,3,9,TEN 14,10,24,Derek Carr pass incomplete short right intended for Mack Hollins (defended by Jeffery Simmons)
88,3,7:01,4,9,TEN 14,13,24,Daniel Carlson 32 yard field goal good
89,3,6:57,0,0,LVR 35,13,24,"Daniel Carlson kicks off 65 yards, touchback."
90,3,6:57,1,10,TEN 25,13,24,Derrick Henry up the middle for no gain (tackle by Johnathan Hankins and Maxx Crosby)
91,3,6:25,2,10,TEN 25,13,24,"Penalty on TEN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)"
92,3,6:08,2,15,TEN 20,13,24,"Ryan Tannehill pass complete to Derrick Henry for no gain (tackle by Divine Deablo and Bilal Nichols). Penalty on Nicholas Petit-Frere: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
93,3,5:40,2,20,TEN 15,13,24,Ryan Tannehill pass complete short middle to Derrick Henry for 9 yards (tackle by Jayon Brown)
94,3,4:51,3,11,TEN 24,13,24,Ryan Tannehill pass deep left intended for Robert Woods is intercepted by Duron Harmon at TEN-44 and returned for 13 yards (tackle by Austin Hooper)
95,3,4:47,1,10,TEN 31,13,24,"Derek Carr pass complete deep right to Darren Waller for no gain. Penalty on Jermaine Eluemunor: Offensive Holding, 10 yards (accepted) (no play)"
96,3,4:25,1,20,TEN 41,13,24,Derek Carr pass complete short left to Davante Adams for 7 yards (tackle by Roger McCreary)
97,3,3:50,2,13,TEN 34,13,24,Derek Carr pass incomplete short left intended for Davante Adams
98,3,3:45,3,13,TEN 34,13,24,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)"
99,3,3:45,3,18,TEN 39,13,24,Derek Carr pass complete short left to Brandon Bolden for -2 yards (tackle by Jeffery Simmons and David Long)
100,3,3:05,4,20,TEN 41,13,24,"AJ Cole punts 41 yards, touchback. LVR challenged the touchback ruling, and the original play was overturned. AJ Cole punts 39 yards downed by Mack Hollins"
101,3,2:56,1,10,TEN 2,13,24,Derrick Henry left guard for 1 yard (tackle by Jayon Brown)
102,3,2:16,2,9,TEN 3,13,24,Ryan Tannehill pass incomplete short middle intended for Robert Woods (defended by Jayon Brown)
103,3,2:13,3,9,TEN 3,13,24,Ryan Tannehill pass complete short middle to Dontrell Hilliard for 30 yards (tackle by Rock Ya-Sin and Divine Deablo)
104,3,1:22,1,10,TEN 33,13,24,Derrick Henry left tackle for 4 yards (tackle by Divine Deablo)
105,3,0:39,2,6,TEN 37,13,24,Derrick Henry right tackle for 13 yards (tackle by Jayon Brown and Duron Harmon)
106,4,15:00,1,10,TEN 50,13,24,Derrick Henry left tackle for 2 yards (tackle by Andrew Billings)
107,4,14:18,2,8,LVR 48,13,24,Ryan Tannehill pass complete short left to Derrick Henry for 7 yards (tackle by Nate Hobbs)
108,4,13:41,3,1,LVR 41,13,24,Derrick Henry up the middle for -3 yards (tackle by Maxx Crosby and Chandler Jones)
109,4,12:58,4,4,LVR 44,13,24,Ryan Tannehill pass incomplete short middle intended for Treylon Burks
110,4,12:54,1,10,LVR 45,13,24,Josh Jacobs right end for 4 yards (tackle by David Long and DeMarcus Walker)
111,4,12:09,2,8,LVR 47,13,24,Derek Carr pass complete short right to Foster Moreau for 8 yards (tackle by Roger McCreary)
112,4,11:23,1,10,TEN 44,13,24,Derek Carr pass complete deep middle to Darren Waller for 17 yards (tackle by Amani Hooker)
113,4,11:17,1,10,TEN 27,13,24,"Penalty on Amani Hooker: Personal Foul / Defense, 14 yards (accepted) (no play)"
114,4,10:55,1,10,TEN 14,13,24,Josh Jacobs right guard for 3 yards (tackle by Naquan Jones and Kevin Byard)
115,4,10:16,2,7,TEN 10,13,24,Josh Jacobs left end for 4 yards. Josh Jacobs fumbles (forced by Amani Hooker) (tackle by Rashad Weaver and Amani Hooker). Josh Jacobs fumbles out of bounds
116,4,9:33,3,3,TEN 6,13,24,Derek Carr pass short middle intended for Darren Waller is intercepted by Kevin Byard in end zone and returned for 24 yards (tackle by Jakob Johnson)
117,4,9:22,1,10,TEN 20,13,24,Ryan Tannehill pass incomplete short right
118,4,9:17,2,10,TEN 20,13,24,Derrick Henry right tackle for 2 yards (tackle by Maxx Crosby)
119,4,8:33,3,8,TEN 22,13,24,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 15 yards (tackle by Roderic Teamer)
120,4,7:51,1,10,TEN 37,13,24,Derrick Henry left tackle for 1 yard (tackle by Divine Deablo)
121,4,7:08,2,10,TEN 37,13,24,Ryan Tannehill pass incomplete short right intended for Derrick Henry
122,4,7:05,3,10,TEN 37,13,24,Ryan Tannehill pass complete short right to Austin Hooper for 8 yards (tackle by Roderic Teamer)
123,4,6:17,4,1,TEN 46,13,24,"Ryan Stonehouse punts 54 yards, touchback."
124,4,6:08,1,10,LVR 20,13,24,"Derek Carr pass incomplete deep left intended for Mack Hollins. Penalty on Roger McCreary: Illegal Use of Hands / Defense, 5 yards (offset) . Penalty on Alex Bars: Offensive Holding, 10 yards (offset) (no play)"
125,4,6:02,1,10,LVR 20,13,24,"Derek Carr pass complete deep left to Mack Hollins for 60 yards (tackle by Amani Hooker). Penalty on Alex Bars: Unsportsmanlike Conduct / Offense, 15 yards (accepted) "
126,4,5:34,1,10,TEN 35,13,24,Derek Carr pass complete short right to Darren Waller for -1 yards (tackle by Terrance Mitchell and Dylan Cole)
127,4,4:54,2,11,TEN 36,13,24,Derek Carr pass complete short left to Keelan Cole for 12 yards (tackle by Roger McCreary)
128,4,4:18,1,10,TEN 24,13,24,Derek Carr pass incomplete short middle
129,4,4:15,2,10,TEN 24,13,24,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Roger McCreary)
130,4,3:37,3,3,TEN 17,13,24,Derek Carr pass incomplete deep left intended for Mack Hollins (defended by Kristian Fulton)
131,4,3:33,4,3,TEN 17,16,24,Daniel Carlson 35 yard field goal good
132,4,3:29,0,0,LVR 35,16,24,"Daniel Carlson kicks off 65 yards, touchback."
133,4,3:29,1,10,TEN 25,16,24,Derrick Henry up the middle for 1 yard (tackle by Johnathan Hankins and Maxx Crosby)
134,4,3:25,2,9,TEN 26,16,24,"Ryan Tannehill sacked by Maxx Crosby for -12 yards. Ryan Tannehill fumbles (forced by Maxx Crosby), recovered by Nick Westbrook-Ikhine at TEN-14"
135,4,3:16,3,21,TEN 14,16,24,"Dontrell Hilliard up the middle for 10 yards (tackle by Johnathan Abram and Clelin Ferrell). Penalty on Nate Davis: Offensive Holding, 10 yards (declined) "
136,4,3:09,4,11,TEN 24,16,24,"Ryan Stonehouse punts 70 yards, returned by Keelan Cole for 13 yards (tackle by Joseph Jones)"
137,4,2:57,1,10,LVR 19,16,24,Derek Carr pass complete short middle to Josh Jacobs for 13 yards (tackle by Amani Hooker)
138,4,2:27,1,10,LVR 32,16,24,Derek Carr pass incomplete short right
139,4,2:24,2,10,LVR 32,16,24,Derek Carr pass incomplete deep middle intended for Davante Adams
140,4,2:19,3,10,LVR 32,16,24,Derek Carr pass incomplete deep middle intended for Keelan Cole
141,4,2:13,4,10,LVR 32,16,24,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)"
142,4,2:13,4,15,LVR 27,16,24,Derek Carr pass complete deep right to Mack Hollins for 48 yards (tackle by Terrance Mitchell)
143,4,2:00,1,10,TEN 25,16,24,Derek Carr pass complete short right to Mack Hollins for 5 yards (tackle by Terrance Mitchell)
144,4,1:56,2,5,TEN 20,16,24,Derek Carr scrambles right tackle for 6 yards (tackle by Dylan Cole)
145,4,1:49,1,10,TEN 14,16,24,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Teair Tart)
146,4,1:44,2,10,TEN 14,16,24,Derek Carr pass incomplete short right intended for Davante Adams (defended by Dylan Cole)
147,4,1:41,3,10,TEN 14,16,24,Derek Carr pass incomplete short right intended for Keelan Cole (defended by Roger McCreary)
148,4,1:37,4,10,TEN 14,16,24,"Derek Carr pass incomplete intended for Darren Waller. Penalty on Lonnie Johnson: Defensive Holding, 5 yards (accepted) (no play)"
149,4,1:32,1,9,TEN 9,16,24,Derek Carr pass incomplete short right
150,4,1:26,2,9,TEN 9,16,24,Derek Carr pass incomplete short left intended for Mack Hollins
151,4,1:22,3,9,TEN 9,16,24,Derek Carr pass incomplete short left intended for Keelan Cole
152,4,1:18,4,9,TEN 9,22,24,"Derek Carr pass complete short right to Mack Hollins for 9 yards, touchdown"
153,4,1:14,0,0,TEN 2,22,24,Two Point Attempt: Derek Carr pass incomplete intended for Darren Waller
154,4,1:14,0,0,LVR 35,22,24,"Daniel Carlson kicks onside 9 yards, returned by Austin Hooper for 2 yards"
155,4,1:13,1,10,LVR 42,22,24,Ryan Tannehill kneels for -1 yards
156,4,0:39,2,11,LVR 43,22,24,Ryan Tannehill kneels for -1 yards
